SEQN,timezone,duration_hours,mean_lux,mean_daytime_lux,mean_nighttime_lux,time_above_threshold,M10,L5,RA,m10_midpoint,l5_midpoint,IS,IV
73607,UTC,192.08333333333334,32.09078999635808,63.96445268480797,0.04684027777777778,9.991326973113617,76.42104056938432,0.0020138888888888893,0.9999472962994437,745.0,1385.0,0.09582012503591594,0.2657883984248472
73667,UTC,192.08333333333334,138.41456923966464,272.3856499133449,1.1121412037037035,64.9436253252385,324.51061882716044,0.0021388888888888894,0.9999868178440566,830.0,300.0,0.24980539789019082,0.3384710826490992
73751,UTC,192.08333333333334,84.60066493206129,159.14104852686305,6.059888117283951,48.08326105810928,188.0422010030864,0.012465277777777778,0.9998674292106194,795.0,225.0,0.160488862018575,0.4837241150136572
73772,UTC,192.08333333333334,40.38569150949132,79.56644247910484,0.7730902777777777,19.35819601040763,93.85882680946325,0.00125,0.9999733646073498,735.0,215.0,0.07667776120705594,0.5058906160807217
73778,UTC,192.08333333333334,55.289037294015614,110.44532696759259,0.17853733641262512,19.982653946227234,131.62674652777778,0.01563888888888889,0.9997624034411197,750.0,65.0,0.109399232184179,0.4548065508357119
74010,UTC,192.08333333333334,268.2044955189361,469.66273437499996,28.232794457274824,157.98785776235906,629.973545138889,0.2917361111111111,0.9990742434343438,960.0,290.0,0.33747701204329167,0.160066275141583
74013,UTC,192.08333333333334,139.861220005782,269.5520306181398,3.755628858024692,69.31483087597572,309.23259606481486,0.0,1.0,795.0,150.0,0.20727503295479624,0.334626939547762
74148,UTC,192.08333333333334,34.443339115351264,61.475563258232235,8.483043981481481,6.24457935819601,72.57183873456789,1.2491666666666665,0.9661568774394997,840.0,250.0,0.1062738400541469,0.4232084258758577
74181,UTC,192.08333333333334,11.12380312228968,19.779754477180823,1.7452121913580247,2.4978317432784043,23.496350694444445,0.9187222222222222,0.9247413902585507,870.0,170.0,0.042244116595642076,0.6183927068635985
74227,UTC,192.08333333333334,12.74809627059844,21.505164644714036,3.8075038580246914,4.995663486556809,24.857038580246915,2.3245347222222223,0.8289624595047952,785.0,265.0,0.0550679032986629,0.5130406847333124
74239,UTC,192.08333333333334,74.9401373229257,138.17501733102253,1.3436265432098766,38.71639202081526,166.56897260802467,0.0767222222222222,0.9990792174703297,870.0,180.0,0.07538405126532333,0.4184689244444449
74395,UTC,192.08333333333334,100.03800664932064,198.23309069901788,1.6252700617283948,63.69470945359931,233.5332986111111,0.0014513888888888888,0.9999875702533445,770.0,110.0,0.14879023727069557,0.28031131512172414
74539,UTC,192.08333333333334,45.05265250072276,58.598278451761985,28.07736882716049,4.371205550737208,64.83743055555556,18.116916666666665,0.5632075406938187,570.0,10.0,0.07696704358373256,0.3355227171518764
74554,UTC,192.08333333333334,53.956925411968776,104.25430098209128,0.17355324074074072,10.615784908933218,127.07212461419753,0.0016319444444444441,0.999974315004315,900.0,240.0,0.15496749975171814,0.5863386022415077
74587,UTC,192.08333333333334,207.63985689505637,412.6710908564815,3.021662817551963,129.887250650477,493.6245763888889,0.12026388888888889,0.9995128500428634,765.0,180.0,0.3002407323044711,0.18707300673749233
74624,UTC,192.08333333333334,45.77002891008962,88.03762853841708,3.156060956790124,17.48482220294883,104.56333294753087,0.057381944444444444,0.998903048129547,780.0,205.0,0.14309058668998217,0.42970946384688574
74721,UTC,192.08333333333334,21.434233882625037,42.409968226458695,0.3512114197530864,9.991326973113617,50.74610339506173,0.20011805555555556,0.9921439490561814,710.0,285.0,0.08757787565318798,0.7518204026603575
74787,UTC,192.08333333333334,65.8355261636311,119.085577700751,7.166697530864197,28.725065047701648,142.0097361111111,0.4449444444444445,0.9937531790080998,865.0,285.0,0.13659021183797182,0.5389822029243113
74862,UTC,192.08333333333334,26.309320612893902,50.92090410167533,0.9454861111111112,7.493495229835213,59.400286651234566,0.1235486111111111,0.9958487684616899,1010.0,315.0,0.09860431795401166,0.6635271481093991
74916,UTC,192.08333333333334,158.5544955189361,306.4816377816291,4.100196759259259,96.16652211621856,356.41659953703703,2.2449513888888886,0.9874815051510636,815.0,110.0,0.2596743883294216,0.3472130094978231
75020,UTC,192.08333333333334,72.61949840994507,135.64583188908145,3.4839004629629633,38.71639202081526,157.75913888888888,0.04080555555555555,0.9994828191391422,855.0,165.0,0.10105640287249196,0.6558311360099939
75114,UTC,192.08333333333334,136.80126337091647,249.37209780092593,9.0474480369515,74.93495229835213,280.11106597222226,0.0038402777777777775,0.9999725806967634,855.0,165.0,0.12300235439967307,0.3763260468624955
75391,UTC,192.08333333333334,124.92642526741832,247.6389514731369,1.6324729938271603,78.05724197745013,295.2260945216049,0.9963263888888889,0.99327311966578,810.0,125.0,0.23173405938348754,0.36357476875372424
75415,UTC,192.08333333333334,153.46566204105235,264.9845493934142,25.468425925925928,78.68169991326974,335.19848341049385,1.8396597222222222,0.9890833737385158,915.0,365.0,0.14469701637671645,0.3708563617512772
75434,UTC,192.08333333333334,30.148899971089914,60.296004050925916,0.057467282525019245,15.611448395490026,72.34742708333334,0.0,1.0,800.0,150.0,0.13311674842887924,0.5381000063280361
75610,UTC,192.08333333333334,33.23647658282741,66.17780329289428,0.021882716049382717,17.48482220294883,78.53344290123458,0.0,1.0,810.0,150.0,0.10504535006691738,0.1998803837901332
75733,UTC,192.08333333333334,3.022629372651055,2.922215482380127,0.1160841049382716,1.2489158716392021,7.155670910493828,0.0,1.0,900.0,160.0,0.02250889120110651,0.9893329706718926
75788,UTC,192.08333333333334,78.07546256143394,146.61442518775274,2.184749228395061,31.22289679098005,178.9195810185185,0.06539583333333333,0.9992692589681708,890.0,140.0,0.1423408513093351,0.39726804346416433
75879,UTC,192.08333333333334,194.47517201503325,336.4519381860196,29.119525462962958,106.78230702515178,359.94304976851856,14.4028125,0.9230507722846482,810.0,215.0,0.09928731534525063,0.6255458879340228
75912,UTC,192.08333333333334,17.40714657415438,34.76340843443096,0.023665123456790126,2.4978317432784043,41.78700347222222,0.0,1.0,815.0,150.0,0.1368751469996385,0.50880932002348
76036,UTC,192.08333333333334,172.59209453599306,319.87846042749857,5.647245370370371,93.04423243712054,378.91062500000004,3.424875,0.982084452006157,680.0,50.0,0.1699771695787028,0.4979216051822325
76039,UTC,192.08333333333334,383.6508427291124,681.1865769675926,45.949896073903005,241.04076322636598,788.468704861111,0.9816666666666667,0.9975130376726103,900.0,280.0,0.2866736571707289,0.19084158821304723
76145,UTC,192.08333333333334,78.90364989881469,156.2751357596765,0.7286496913580246,39.34084995663487,184.52286805555556,0.0,1.0,805.0,150.0,0.12168799564847643,0.1401630391214883
76476,UTC,192.08333333333334,184.70058976582828,344.382865395725,11.739903549382719,106.78230702515178,390.89631751543214,0.0021875,0.999988807836449,860.0,230.0,0.1893518207784072,0.31679340772622405
76518,UTC,192.08333333333334,67.42537701055157,119.005426966781,6.413020833333333,19.982653946227234,142.01562057376415,0.5491111111111111,0.9922966766798277,925.0,200.0,0.12847405526515882,0.611644477122948
76586,UTC,192.08333333333334,118.65109424689217,219.54646122685185,13.803225558121628,60.5724197745013,259.8979201388889,4.145347222222222,0.9686010004068542,860.0,175.0,0.172207854082315,0.4030541086206514
76624,UTC,192.08333333333334,58.85273055796473,110.73930387059502,0.9469135802469135,36.21856027753686,131.4745428240741,0.04355555555555555,0.9993376492499182,855.0,255.0,0.12684095388073804,0.30543606316158534
76674,UTC,192.08333333333334,41.97129661751951,82.6847949162334,1.0279050925925926,23.72940156114484,99.37303125,0.34449305555555554,0.9930906215741987,855.0,390.0,0.07557459383766055,0.45974787267503814
