SEQN,timezone,duration_hours,mean_lux,mean_daytime_lux,mean_nighttime_lux,time_above_threshold,M10,L5,RA,m10_midpoint,l5_midpoint,IS,IV
62218,UTC,222.16666666666666,133.01603674540684,242.67933625091175,19.242722908093278,68.57142857142856,283.21955370370375,2.5467839506172836,0.9821757595977031,790.0,235.0,0.20383297623873325,0.4410737774206096
62282,UTC,192.08333333333334,20.843250939577914,40.4383160023108,0.9532986111111111,7.493495229835213,46.33964197530864,0.0034027777777777776,0.9998531482859657,760.0,150.0,0.05837292907318011,0.6862333831698908
62293,UTC,192.08333333333334,18.989080659150044,36.07712593876372,1.8182908950617285,8.742411101474415,42.68804166666667,1.2057291666666667,0.9450614907867053,965.0,1420.0,0.03173878671061055,0.8967516365741461
62307,UTC,192.08333333333334,44.97666319314097,80.31880877242901,4.9195987654321,24.35385949696444,98.26294821609547,1.6414861111111112,0.9671388738214578,860.0,105.0,0.08884042826005797,0.5616816505551341
62370,UTC,192.08333333333334,62.26924658848796,117.5596701037434,1.7616203703703703,27.47614917606245,147.0802979627036,0.0,1.0,890.0,275.0,0.10578428257439683,0.3854123187070837
62414,UTC,192.08333333333334,4.304174616941312,6.18817157712305,1.8947569444444443,0.0,8.77894212962963,0.0,1.0,1015.0,240.0,0.059240129665543345,0.5403348439863561
62476,UTC,192.08333333333334,0.7276351546689794,1.452475447718082,0.001577932098765432,0.0,1.7078792438271606,0.0,1.0,860.0,150.0,0.04105754062870675,0.6397863601845312
62531,UTC,192.08333333333334,42.771891232191926,85.15717606710102,0.3226851851851852,12.48915871639202,101.03923720503205,0.07141666666666667,0.9985873562491785,815.0,220.0,0.11002373185714094,0.9440329644238425
62884,UTC,192.08333333333334,37.51055218271176,67.12900057770075,9.188375771604937,14.986990459670427,81.5392260802469,1.1527152777777778,0.972120251167234,1040.0,395.0,0.12968924323730138,0.4159185422085308
63022,UTC,192.08333333333334,73.33489736918185,146.37561813980358,0.18658564814814818,41.838681699913266,175.54533603395063,0.0,1.0,790.0,205.0,0.14759737531085884,0.38137949288947426
63178,UTC,192.08333333333334,201.47863238016336,396.38404644886486,3.357827932098765,101.16218560277537,456.1528225481389,0.04748611111111111,0.9997918190312031,810.0,110.0,0.21171157438756513,0.24456376679777897
63363,UTC,192.08333333333334,67.6268704827985,134.7823974581167,0.20849537037037036,34.96964440589766,159.0880898919753,0.021215277777777777,0.9997333244871488,745.0,220.0,0.13809501285176107,0.42358034264696487
63390,UTC,192.08333333333334,28.331587163920208,53.32279029462738,2.8071604938271606,8.742411101474415,64.16007754629629,0.0,1.0,905.0,150.0,0.10601143523591129,0.5829349541823925
63738,UTC,192.08333333333334,59.29086007516623,115.21687463893704,3.3085609567901235,32.47181266261925,139.06014699074075,0.6278958333333333,0.991010027477812,925.0,380.0,0.1107336818337643,0.5306529328922981
